code,title,effective_from,status
Z01.00,Encounter for examination of eyes and vision without abnormal findings,2024-01-01,Active
Z01.10,Encounter for examination of ears and hearing without abnormal findings,2024-01-01,Active
Z01.818,Encounter for other preprocedural examination,2024-01-01,Active
Z12.11,Encounter for screening for malignant neoplasm of colon,2024-01-01,Active
Z12.31,Encounter for screening mammogram for malignant neoplasm of breast,2024-01-01,Active
Z12.4,Encounter for screening for malignant neoplasm of cervix,2024-01-01,Active
Z12.5,Encounter for screening for malignant neoplasm of prostate,2024-01-01,Active
Z13.1,Encounter for screening for diabetes mellitus,2024-01-01,Active
Z13.220,Encounter for screening for lipoid disorders,2024-01-01,Active
Z20.822,Contact with and (suspected) exposure to COVID-19,2024-01-01,Active
Z23,Encounter for immunization,2024-01-01,Active
Z71.3,Dietary counseling and surveillance,2024-01-01,Active
Z71.82,Exercise counseling,2024-01-01,Active
Z72.0,Tobacco use,2024-01-01,Active
Z79.01,Long term (current) use of anticoagulants,2024-01-01,Active
Z79.02,Long term (current) use of antithrombotics/antiplatelets,2024-01-01,Active
Z79.4,Long term (current) use of insulin,2024-01-01,Active
Z79.84,Long term (current) use of oral hypoglycemic drugs,2024-01-01,Active
Z79.899,Other long term (current) drug therapy,2024-01-01,Active
Z86.19,Personal history of other infectious and parasitic diseases,2024-01-01,Active
Z86.73,Personal history of transient ischemic attack (TIA) and cerebral infarction without residual deficits,2024-01-01,Active
Z87.11,Personal history of peptic ulcer disease,2024-01-01,Active
Z87.39,Personal history of other diseases of musculoskeletal system and connective tissue,2024-01-01,Active
Z87.891,Personal history of nicotine dependence,2024-01-01,Active
Z88.0,Allergy status to penicillin,2024-01-01,Active
Z88.1,Allergy status to other antibiotic agents,2024-01-01,Active
Z88.6,Allergy status to analgesic agent,2024-01-01,Active
Z88.8,Allergy status to other drugs medicaments and biological substances,2024-01-01,Active
Z90.10,Acquired absence of breast and nipple unspecified,2024-01-01,Active
Z95.1,Presence of aortocoronary bypass graft,2024-01-01,Active
Z95.5,Presence of coronary angioplasty implant and graft,2024-01-01,Active
Z96.641,Presence of right artificial hip joint,2024-01-01,Active
Z96.642,Presence of left artificial hip joint,2024-01-01,Active
Z96.651,Presence of right artificial knee joint,2024-01-01,Active
Z96.652,Presence of left artificial knee joint,2024-01-01,Active
