atc_code,atc_name,ddd,uom,adm_r,note
C08CA05,Nifedipine,30,mg,O,
C08DA01,Verapamil,0.24,g,O,
C08DB01,Diltiazem,0.24,g,O,
C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,,,,
C09AA01,Captopril,50,mg,O,
C09AA02,Enalapril,10,mg,O,
C09AA03,Lisinopril,10,mg,O,
C09AA05,Ramipril,2.5,mg,O,
C09AA06,Quinapril,15,mg,O,
C09AA09,Fosinopril,15,mg,O,
C09AA10,Trandolapril,2,mg,O,
C09CA01,Losartan,50,mg,O,
C09CA03,Valsartan,80,mg,O,
C09CA04,Irbesartan,0.15,g,O,
C09CA06,Candesartan,8,mg,O,
C09CA07,Telmisartan,40,mg,O,
C09CA08,Olmesartan medoxomil,20,mg,O,
C09DX04,Valsartan and sacubitril,0.194,g,O,combination
C10,LIPID MODIFYING AGENTS,,,,
C10AA01,Simvastatin,30,mg,O,
C10AA03,Pravastatin,30,mg,O,
C10AA05,Atorvastatin,20,mg,O,
C10AA07,Rosuvastatin,10,mg,O,
C10AB02,Bezafibrate,0.6,g,O,
C10AB04,Gemfibrozil,1.2,g,O,
C10AB05,Fenofibrate,0.2,g,O,
C10AX09,Ezetimibe,10,mg,O,
D,DERMATOLOGICALS,,,,
D01,ANTIFUNGALS FOR DERMATOLOGICAL USE,,,,
D01AC01,Clotrimazole,,,TD,
D01AC02,Miconazole,,,TD,
D07,CORTICOSTEROIDS DERMATOLOGICAL PREPARATIONS,,,,
D07AA02,Hydrocortisone,,,TD,
D07AC01,Betamethasone,,,TD,
D10,ANTI-ACNE PREPARATIONS,,,,
D10AD01,Tretinoin,,,TD,
G,GENITO URINARY SYSTEM AND SEX HORMONES,,,,
G01,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,,,,
G02,OTHER GYNECOLOGICALS,,,,
G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,,,,
G03AA07,Levonorgestrel and ethinylestradiol,,,O,combination
G03CA03,Estradiol,2,mg,O,
G03DA04,Progesterone,0.3,g,O,
G04,UROLOGICALS,,,,
G04BD04,Oxybutynin,15,mg,O,
G04BD07,Tolterodine,4,mg,O,
G04BD08,Solifenacin,5,mg,O,
G04BE03,Sildenafil,50,mg,O,
G04BE08,Tadalafil,10,mg,O,
G04CA01,Alfuzosin,7.5,mg,O,
G04CA02,Tamsulosin,0.4,mg,O,
G04CB01,Finasteride,5,mg,O,
G04CB02,Dutasteride,0.5,mg,O,
H,SYSTEMIC HORMONAL PREPARATIONS EXCL SEX HORMONES AND INSULINS,,,,
H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,,,,
H02,CORTICOSTEROIDS FOR SYSTEMIC USE,,,,
H02AB01,Betamethasone,1.5,mg,O,
H02AB02,Dexamethasone,1.5,mg,O,
H02AB04,Methylprednisolone,7.5,mg,O,
H02AB06,Prednisolone,10,mg,O,
H02AB07,Prednisone,10,mg,O,
H02AB09,Hydrocortisone,30,mg,O,
H03,THYROID THERAPY,,,,
H03AA01,Levothyroxine sodium,0.15,mg,O,
H03BB01,Carbimazole,15,mg,O,
H03BB02,Methimazole,10,mg,O,
J,ANTIINFECTIVES FOR SYSTEMIC USE,,,,
J01,ANTIBACTERIALS FOR SYSTEMIC USE,,,,
J01AA02,Doxycycline,0.1,g,O,
J01CA01,Ampicillin,2,g,O,
J01CA04,Amoxicillin,1,g,O,
J01CR02,Amoxicillin and clavulanic acid,1,g,O,combination
J01DB01,Cefalexin,2,g,O,
J01DC02,Cefuroxime,0.5,g,O,
J01DD01,Cefotaxime,4,g,P,
J01DD02,Ceftazidime,4,g,P,
J01DD04,Ceftriaxone,2,g,P,
J01DD08,Cefixime,0.4,g,O,
J01DH02,Meropenem,2,g,P,
J01EE01,Sulfamethoxazole and trimethoprim,1.92,g,O,combination
J01FA01,Erythromycin,1,g,O,
J01FA09,Clarithromycin,0.5,g,O,
J01FA10,Azithromycin,0.3,g,O,
J01GB03,Gentamicin,0.24,g,P,
J01MA02,Ciprofloxacin,1,g,O,
J01MA06,Norfloxacin,0.8,g,O,
J01MA12,Levofloxacin,0.5,g,O,
J01MA14,Moxifloxacin,0.4,g,O,
J01XA01,Vancomycin,2,g,P,
J01XD01,Metronidazole,1.5,g,O,
J01XX01,Fosfomycin,3,g,O,
J02,ANTIMYCOTICS FOR SYSTEMIC USE,,,,
J02AC01,Fluconazole,0.2,g,O,
J02AC02,Itraconazole,0.2,g,O,
J05,ANTIVIRALS FOR SYSTEMIC USE,,,,
J05AB01,Acyclovir,4,g,O,
J05AB11,Valaciclovir,3,g,O,
J05AE01,Saquinavir,1.8,g,O,
J05AH02,Oseltamivir,0.15,g,O,
M,MUSCULO-SKELETAL SYSTEM,,,,
M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,,,,
M01AB01,Indomethacin,0.1,g,O,
M01AB05,Diclofenac,0.1,g,O,
M01AE01,Ibuprofen,1.2,g,O,
M01AE02,Naproxen,0.5,g,O,
M01AE03,Ketoprofen,0.15,g,O,
M01AE51,Ibuprofen combinations,,,O,
M01AH01,Celecoxib,0.2,g,O,
M01AH05,Etoricoxib,60,mg,O,
M02,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,,,,
M03,MUSCLE RELAXANTS,,,,
M03BX01,Baclofen,30,mg,O,
M03BX02,Tizanidine,12,mg,O,
M03BX04,Tolperisone,0.45,g,O,
M04,ANTIGOUT PREPARATIONS,,,,
M04AA01,Allopurinol,0.4,g,O,
M04AA03,Febuxostat,80,mg,O,
M04AC01,Colchicine,1,mg,O,
M05,DRUGS FOR TREATMENT OF BONE DISEASES,,,,
M05BA04,Alendronic acid,10,mg,O,
M05BA07,Risedronic acid,5,mg,O,
M05BA08,Zoledronic acid,5,mg,P,given once yearly
M05BX03,Strontium ranelate,2,g,O,
M05BX04,Denosumab,1.6,mg,P,given once every 6 months
N,NERVOUS SYSTEM,,,,
N01,ANESTHETICS,,,,
N02,ANALGESICS,,,,
N02AA01,Morphine,0.1,g,O,
N02AA05,Oxycodone,75,mg,O,
N02AB03,Fentanyl,1.2,mg,TD,
N02AX02,Tramadol,0.3,g,O,
N02BA01,Acetylsalicylic acid,3,g,O,analgesic/antipyretic
N02BE01,Paracetamol,3,g,O,
N02CC01,Sumatriptan,50,mg,O,
N03,ANTIEPILEPTICS,,,,
N03AA02,Phenobarbital,0.1,g,O,
N03AB02,Phenytoin,0.3,g,O,
N03AE01,Clonazepam,8,mg,O,
N03AF01,Carbamazepine,1,g,O,
N03AF02,Oxcarbazepine,1,g,O,
N03AG01,Valproic acid,1.5,g,O,
N03AX09,Lamotrigine,0.3,g,O,
N03AX11,Topiramate,0.3,g,O,
N03AX12,Gabapentin,1.8,g,O,
N03AX14,Levetiracetam,1.5,g,O,
N03AX16,Pregabalin,0.3,g,O,
N04,ANTI-PARKINSON DRUGS,,,,
N04BA02,Levodopa and decarboxylase inhibitor,0.6,g,O,expressed as levodopa
N04BC05,Pramipexole,2.5,mg,O,
N04BC09,Rotigotine,6,mg,TD,
N05,PSYCHOLEPTICS,,,,
N05AA01,Chlorpromazine,0.3,g,O,
N05AH02,Clozapine,0.3,g,O,
N05AH03,Olanzapine,10,mg,O,
N05AH04,Quetiapine,0.4,g,O,
N05AL01,Sulpiride,0.8,g,O,
N05AX08,Risperidone,5,mg,O,
N05AX12,Aripiprazole,15,mg,O,
N05AX13,Paliperidone,6,mg,O,
N05BA01,Diazepam,10,mg,O,
N05BA06,Lorazepam,2.5,mg,O,
N05BA12,Alprazolam,1,mg,O,
N05BE01,Buspirone,30,mg,O,
N05CD01,Flurazepam,30,mg,O,
N05CD02,Nitrazepam,5,mg,O,
N05CF01,Zopiclone,7.5,mg,O,
N05CF02,Zolpidem,10,mg,O,
N05CH01,Melatonin,2,mg,O,
N06,PSYCHOANALEPTICS,,,,
N06AA04,Clomipramine,0.1,g,O,
N06AA09,Amitriptyline,75,mg,O,
N06AB03,Fluoxetine,20,mg,O,
N06AB04,Citalopram,20,mg,O,
N06AB05,Paroxetine,20,mg,O,
N06AB06,Sertraline,50,mg,O,
N06AB10,Escitalopram,10,mg,O,
N06AX05,Trazodone,0.3,g,O,
N06AX11,Mirtazapine,30,mg,O,
N06AX16,Venlafaxine,0.1,g,O,
N06AX21,Duloxetine,60,mg,O,
N06BA04,Methylphenidate,30,mg,O,
N06BA09,Atomoxetine,80,mg,O,
N06DA02,Donepezil,7.5,mg,O,
N06DA03,Rivastigmine,9,mg,O,
N06DA04,Galantamine,16,mg,O,
N06DX01,Memantine,20,mg,O,
N07,OTHER NERVOUS SYSTEM DRUGS,,,,
N07CA02,Cinnarizine,75,mg,O,
N07CA03,Flunarizine,10,mg,O,
P,ANTIPARASITIC PRODUCTS INSECTICIDES AND REPELLENTS,,,,
R,RESPIRATORY SYSTEM,,,,
R01,NASAL PREPARATIONS,,,,
R01AD05,Budesonide,0.2,mg,N,
R01AD09,Mometasone,0.2,mg,N,
R01AD12,Fluticasone furoate,0.11,mg,N,
R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,,,,
R03AC02,Salbutamol,12,mg,Inhal,
R03AC04,Fenoterol,0.6,mg,Inhal,
R03AC12,Salmeterol,0.1,mg,Inhal,
R03AC13,Formoterol,24,mcg,Inhal,
R03AC18,Indacaterol,0.15,mg,Inhal,
R03AK06,Salmeterol and fluticasone,,,Inhal,combination
R03AK07,Formoterol and budesonide,,,Inhal,combination
R03AK11,Formoterol and fluticasone,,,Inhal,combination
R03BA01,Beclometasone,0.8,mg,Inhal,
R03BA02,Budesonide,0.8,mg,Inhal,
R03BA05,Fluticasone,0.6,mg,Inhal,
R03BA08,Ciclesonide,0.16,mg,Inhal,
R03BB01,Ipratropium bromide,0.12,mg,Inhal,
R03BB04,Tiotropium bromide,18,mcg,Inhal,
R03DC03,Montelukast,10,mg,O,
R05,COUGH AND COLD PREPARATIONS,,,,
R05CB01,Acetylcysteine,0.6,g,O,mucolytic
R05DA04,Codeine,0.1,g,O,
R06,ANTIHISTAMINES FOR SYSTEMIC USE,,,,
R06AA04,Clemastine,1.5,mg,O,
R06AE07,Cetirizine,10,mg,O,
R06AX13,Loratadine,10,mg,O,
R06AX27,Desloratadine,5,mg,O,
R06AX26,Fexofenadine,0.12,g,O,
S,SENSORY ORGANS,,,,
S01,OPHTHALMOLOGICALS,,,,
S01AA01,Chloramphenicol,,,Eye,
S01BC05,Ketorolac,,,Eye,
S01ED01,Timolol,0.2,mg,Eye,
S01EE01,Latanoprost,1.5,mcg,Eye,
S01EE03,Bimatoprost,3,mcg,Eye,
S02,OTOLOGICALS,,,,
V,VARIOUS,,,,
V03,ALL OTHER THERAPEUTIC PRODUCTS,,,,
