LOINC_NUM,LONG_COMMON_NAME,SHORTNAME,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,STATUS
20454-5,Protein [Mass/volume] in Urine by Test strip,Protein Ur Strip,Protein,MCnc,Pt,Urine,Qn,Test strip,UA,ACTIVE
5770-3,Hemoglobin [Presence] in Urine by Test strip,Blood Ur Strip Ql,Hemoglobin,PrThr,Pt,Urine,Ord,Test strip,UA,ACTIVE
5799-2,Leukocyte esterase [Presence] in Urine by Test strip,Leukocyte esterase Ur Strip Ql,Leukocyte esterase,PrThr,Pt,Urine,Ord,Test strip,UA,ACTIVE
5802-4,Nitrite [Presence] in Urine by Test strip,Nitrite Ur Strip Ql,Nitrite,PrThr,Pt,Urine,Ord,Test strip,UA,ACTIVE
5767-9,Appearance of Urine,Appearance Ur,Appearance,Type,Pt,Urine,Nom,,UA,ACTIVE
5778-6,Color of Urine,Color Ur,Color,Type,Pt,Urine,Nom,,UA,ACTIVE
11279-7,Urine sediment comments by Light microscopy,Urine sediment comments LM,Urine sediment,Prid,Pt,Urine sed,Nar,Microscopy.light,UA,ACTIVE
2339-0,Glucose [Mass/volume] in Blood,Glucose Bld,Glucose,MCnc,Pt,Bld,Qn,,CHEM,ACTIVE
33762-6,Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Serum or Plasma,NT-proBNP SerPl,Natriuretic peptide.B prohormone N-Terminal,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
10839-9,Troponin I.cardiac [Mass/volume] in Serum or Plasma,Troponin I SerPl,Troponin I.cardiac,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
6598-7,Troponin T.cardiac [Mass/volume] in Serum or Plasma,Troponin T SerPl,Troponin T.cardiac,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
2157-6,Creatine kinase [Enzymatic activity/volume] in Serum or Plasma,CK SerPl,Creatine kinase,CCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
13969-1,Creatine kinase.MB [Mass/volume] in Serum or Plasma,CK-MB SerPl,Creatine kinase.MB,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
2532-0,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma,LDH SerPl,Lactate dehydrogenase,CCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
14682-9,Creatinine renal clearance predicted by Cockcroft-Gault formula,Creat Cl Prediction CG,Creatinine renal clearance,VRat,Pt,Ser/Plas+Urine,Qn,Cockcroft-Gault,CHEM,ACTIVE
33914-3,Glomerular filtration rate/1.73 sq M.predicted,eGFR CKD-EPI,Glomerular filtration rate/1.73 sq M.predicted,ArVRat,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
50044-7,Glomerular filtration rate/1.73 sq M.predicted among females [Volume Rate/Area] in Serum Creatinine or Plasma by CKD-EPI,eGFR CKD-EPI Female,Glomerular filtration rate/1.73 sq M.predicted.female,ArVRat,Pt,Ser/Plas,Qn,CKD-EPI,CHEM,ACTIVE
50045-4,Glomerular filtration rate/1.73 sq M.predicted among males [Volume Rate/Area] in Serum Creatinine or Plasma by CKD-EPI,eGFR CKD-EPI Male,Glomerular filtration rate/1.73 sq M.predicted.male,ArVRat,Pt,Ser/Plas,Qn,CKD-EPI,CHEM,ACTIVE
2502-3,Iron [Mass/volume] in Serum or Plasma,Iron SerPl,Iron,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
2498-4,Iron binding capacity [Mass/volume] in Serum or Plasma,TIBC SerPl,Iron binding capacity,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
2500-7,Iron saturation [Mass Fraction] in Serum or Plasma,Iron Sat SerPl,Iron saturation,MFr,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
2276-4,Ferritin [Mass/volume] in Serum or Plasma,Ferritin SerPl,Ferritin,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
30522-7,Vitamin B12 [Mass/volume] in Serum or Plasma,Vitamin B12 SerPl,Cobalamin,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
2284-8,Folate [Mass/volume] in Serum or Plasma,Folate SerPl,Folate,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
25OH,Vitamin D 25-OH [Mass/volume] in Serum or Plasma,Vitamin D 25-OH SerPl,Calcidiol,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
1825-9,Blood group typing [Type] in Blood,Blood type Bld,Blood group,Type,Pt,Bld,Nom,,BLDBK,ACTIVE
34474-7,Rh [Type] in Blood,Rh type Bld,Rh,Type,Pt,Bld,Nom,,BLDBK,ACTIVE
882-1,ABO and Rh group [Type] in Blood,ABO+Rh Bld,ABO+Rh group,Type,Pt,Bld,Nom,,BLDBK,ACTIVE
945-6,Antibody screen [Interpretation] in Serum or Plasma,Antibody screen Interp,Antibody screen,Imp,Pt,Ser/Plas,Nom,,BLDBK,ACTIVE
5671-3,Lead [Mass/volume] in Blood,Lead Bld,Lead,MCnc,Pt,Bld,Qn,,TOX,ACTIVE
5794-3,Ethanol [Mass/volume] in Blood,Ethanol Bld,Ethanol,MCnc,Pt,Bld,Qn,,TOX,ACTIVE
3084-1,Urate [Mass/volume] in Serum or Plasma,Urate SerPl,Urate,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
2458-8,IgA [Mass/volume] in Serum or Plasma,IgA SerPl,IgA,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
2465-3,IgG [Mass/volume] in Serum or Plasma,IgG SerPl,IgG,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
2472-9,IgM [Mass/volume] in Serum or Plasma,IgM SerPl,IgM,MCnc,Pt,Ser/Plas,Qn,,CHEM,ACTIVE
71426-1,Hepatitis C virus RNA [log units/volume] (viral load) in Serum or Plasma by NAA with probe detection,HCV RNA log SerPl NAA+probe,Hepatitis C virus RNA,LnCnc,Pt,Ser/Plas,Qn,NAA.probe,MICRO,ACTIVE
5196-1,Hepatitis B virus surface Ag [Presence] in Serum,HBsAg SerPl Ql,Hepatitis B virus surface Ag,ACnc,Pt,Ser,Ord,,MICRO,ACTIVE
5195-3,Hepatitis B virus surface Ab [Units/volume] in Serum,HBsAb SerPl,Hepatitis B virus surface Ab,ACnc,Pt,Ser,Qn,,MICRO,ACTIVE
16128-1,Hepatitis C virus Ab [Presence] in Serum,HCV Ab SerPl Ql,Hepatitis C virus Ab,ACnc,Pt,Ser,Ord,,MICRO,ACTIVE
7905-3,HIV 1 Ab [Presence] in Serum by Immunoblot,HIV 1 Ab SerPl Ql IB,HIV 1 Ab,ACnc,Pt,Ser,Ord,Immunoblot,MICRO,ACTIVE
5221-7,HIV 1+2 Ab [Presence] in Serum,HIV 1+2 Ab SerPl Ql,HIV 1+2 Ab,ACnc,Pt,Ser,Ord,,MICRO,ACTIVE
94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory specimen by NAA with probe detection,SARS-CoV-2 RNA Resp NAA+probe Ql,SARS-CoV-2 RNA,ACnc,Pt,Resp,Ord,NAA.probe,MICRO,ACTIVE
94558-4,SARS-CoV-2 (COVID-19) Ag [Presence] in Respiratory specimen by Rapid immunoassay,SARS-CoV-2 Ag Resp Rapid IA Ql,SARS-CoV-2 Ag,ACnc,Pt,Resp,Ord,IA.rapid,MICRO,ACTIVE
94762-2,SARS-CoV-2 (COVID-19) Ab [Presence] in Serum or Plasma by Immunoassay,SARS-CoV-2 Ab SerPl IA Ql,SARS-CoV-2 Ab,ACnc,Pt,Ser/Plas,Ord,IA,MICRO,ACTIVE
94563-4,SARS-CoV-2 (COVID-19) IgG Ab [Presence] in Serum or Plasma by Immunoassay,SARS-CoV-2 IgG SerPl IA Ql,SARS-CoV-2 IgG Ab,ACnc,Pt,Ser/Plas,Ord,IA,MICRO,ACTIVE
600-7,Bacteria identified in Blood by Culture,Bacteria Bld Cult,Bacteria identified,Prid,Pt,Bld,Nom,Culture,MICRO,ACTIVE
630-4,Bacteria identified in Urine by Culture,Bacteria Ur Cult,Bacteria identified,Prid,Pt,Urine,Nom,Culture,MICRO,ACTIVE
6463-4,Bacteria identified in Unspecified specimen by Culture,Bacteria XXX Cult,Bacteria identified,Prid,Pt,XXX,Nom,Culture,MICRO,ACTIVE
625-4,Bacteria identified in Stool by Culture,Bacteria Stool Cult,Bacteria identified,Prid,Pt,Stool,Nom,Culture,MICRO,ACTIVE
43304-5,Chlamydia trachomatis rRNA [Presence] in Unspecified specimen by NAA with probe detection,CT rRNA XXX NAA+probe Ql,Chlamydia trachomatis rRNA,ACnc,Pt,XXX,Ord,NAA.probe,MICRO,ACTIVE
43305-2,Neisseria gonorrhoeae rRNA [Presence] in Unspecified specimen by NAA with probe detection,GC rRNA XXX NAA+probe Ql,Neisseria gonorrhoeae rRNA,ACnc,Pt,XXX,Ord,NAA.probe,MICRO,ACTIVE
21440-3,Human papilloma virus 16+18+31+33+35+39+45+51+52+56+58+59+66+68 DNA [Presence] in Cervix by NAA with probe detection,HPV hrDNA Cvx NAA+probe Ql,Human papilloma virus DNA,ACnc,Pt,Cvx,Ord,NAA.probe,MICRO,ACTIVE
5292-8,Pap smear finding [Interpretation] in Cervix,Pap smear finding Cvx,Pap smear finding,Imp,Pt,Cvx,Nom,,CYTO,ACTIVE
19762-4,General categories of microorganisms identified in Unspecified specimen by Culture,General categories XXX Cult,General categories,Prid,Pt,XXX,Nom,Culture,MICRO,ACTIVE
24356-8,Urinalysis complete panel - Urine,Urinalysis complete panel,Urinalysis complete panel,-,Pt,Urine,-,-,UA,ACTIVE
57021-8,CBC W Auto Differential panel - Blood,CBC W Auto Diff panel,CBC W Auto Differential panel,-,Pt,Bld,-,-,HEM/BC,ACTIVE
24323-8,Comprehensive metabolic 2000 panel - Serum or Plasma,Comp metabolic 2000 panel,Comprehensive metabolic 2000 panel,-,Pt,Ser/Plas,-,-,CHEM,ACTIVE
24362-6,Renal function 2000 panel - Serum or Plasma,Renal function 2000 panel,Renal function 2000 panel,-,Pt,Ser/Plas,-,-,CHEM,ACTIVE
24325-3,Hepatic function 2000 panel - Serum or Plasma,Hepatic function 2000 panel,Hepatic function 2000 panel,-,Pt,Ser/Plas,-,-,CHEM,ACTIVE
24331-1,Lipid panel with direct LDL - Serum or Plasma,Lipid panel,Lipid panel with direct LDL,-,Pt,Ser/Plas,-,-,CHEM,ACTIVE
24348-5,Prostate specific Ag panel - Serum or Plasma,PSA panel SerPl,Prostate specific Ag panel,-,Pt,Ser/Plas,-,-,CHEM,ACTIVE
24321-2,Basic metabolic 2000 panel - Serum or Plasma,Basic metabolic 2000 panel,Basic metabolic 2000 panel,-,Pt,Ser/Plas,-,-,CHEM,ACTIVE
